timeSeries,Azimuth (rad),Range (m),Speed (m/s),Heading (rad)
0,-2.619851974,200000,120,1.049055647
10,-2.62288699,198963.9228,120,1.049055647
20,-2.625953752,197929.6974,120,1.049055647
30,-2.629052702,196897.3532,120,1.049055647
40,-2.632184289,195866.9197,120,1.049055647
50,-2.635348968,194838.4274,120,1.049055647
60,-2.638547203,193811.9072,120,1.049055647
70,-2.641779464,192787.3905,120,1.049055647
80,-2.645046227,191764.9094,120,1.049055647
90,-2.648347978,190744.4968,120,1.049055647
100,-2.651685209,189726.1859,120,1.049055647
110,-2.655058418,188710.0108,120,1.049055647
120,-2.658468114,187696.0062,120,1.049055647
130,-2.661914809,186684.2074,120,1.049055647
140,-2.665399028,185674.6505,120,1.049055647
150,-2.668921299,184667.3723,120,1.049055647
160,-2.672482161,183662.4103,120,1.049055647
170,-2.67608216,182659.8027,120,1.049055647
180,-2.67972185,181659.5885,120,1.049055647
190,-2.683401792,180661.8074,120,1.049055647
200,-2.687122557,179666.5,120,1.049055647
210,-2.690884723,178673.7076,120,1.049055647
220,-2.694688877,177683.4723,120,1.049055647
230,-2.698535613,176695.8372,120,1.049055647
240,-2.702425535,175710.8461,120,1.049055647
250,-2.706359255,174728.5438,120,1.049055647
260,-2.710337392,173748.9757,120,1.049055647
270,-2.714360575,172772.1885,120,1.049055647
280,-2.71842944,171798.2296,120,1.049055647
290,-2.722544635,170827.1473,120,1.049055647
300,-2.726706812,169858.991,120,1.049055647
310,-2.730916633,168893.8109,120,1.049055647
320,-2.735174771,167931.6585,120,1.049055647
330,-2.739481904,166972.5861,120,1.049055647
340,-2.74383872,166016.6469,120,1.049055647
350,-2.748245917,165063.8956,120,1.049055647
360,-2.752704197,164114.3875,120,1.049055647
370,-2.757214275,163168.1793,120,1.049055647
380,-2.761776872,162225.3288,120,1.049055647
390,-2.766392716,161285.8948,120,1.049055647
400,-2.771062546,160349.9374,120,1.049055647
410,-2.775787108,159417.5178,120,1.049055647
420,-2.780567153,158488.6985,120,1.049055647
430,-2.785403443,157563.5431,120,1.049055647
440,-2.790296746,156642.1165,120,1.049055647
450,-2.795247839,155724.485,120,1.049055647
460,-2.800257503,154810.716,120,1.049055647
470,-2.805326528,153900.8783,120,1.049055647
480,-2.81045571,152995.0421,120,1.049055647
490,-2.815645852,152093.2788,120,1.049055647
500,-2.815645852,152093.2788,120,1.049055647
510,-2.820845807,151188.7366,120,1.031602355
520,-2.826003079,150274.5839,120,1.014149062
530,-2.831116429,149350.9252,120,0.996695769
540,-2.836184576,148417.8672,120,0.979242477
550,-2.841206199,147475.5182,120,0.961789184
560,-2.846179933,146523.989,120,0.944335892
570,-2.851104368,145563.3921,120,0.926882599
580,-2.855978048,144593.8424,120,0.909429307
590,-2.860799468,143615.4569,120,0.891976014
600,-2.865567071,142628.3549,120,0.874522722
610,-2.87027925,141632.658,120,0.857069429
620,-2.874934339,140628.4902,120,0.839616137
630,-2.879530616,139615.9778,120,0.822162844
640,-2.884066298,138595.2498,120,0.804709552
650,-2.888539541,137566.4378,120,0.787256259
660,-2.892948433,136529.6759,120,0.769802967
670,-2.897290996,135485.1011,120,0.752349674
680,-2.901565176,134432.8532,120,0.734896382
690,-2.90576885,133373.0748,120,0.717443089
700,-2.909899811,132305.9118,120,0.699989797
710,-2.913955776,131231.5131,120,0.682536504
720,-2.917934372,130150.0308,120,0.665083212
730,-2.921833139,129061.6204,120,0.647629919
740,-2.925649524,127966.4409,120,0.630176627
750,-2.929380875,126864.655,120,0.612723334
760,-2.933024439,125756.429,120,0.595270042
770,-2.936577356,124641.9333,120,0.577816749
780,-2.940036656,123521.3423,120,0.560363456
790,-2.943399249,122394.8346,120,0.542910164
800,-2.946661925,121262.5932,120,0.525456871
810,-2.949821346,120124.8058,120,0.508003579
820,-2.95287404,118981.6648,120,0.490550286
830,-2.955816395,117833.3679,120,0.473096994
840,-2.958644651,116680.1175,120,0.455643701
850,-2.961354898,115522.1221,120,0.438190409
860,-2.963943061,114359.5956,120,0.420737116
870,-2.9664049,113192.7578,120,0.403283824
880,-2.968735999,112021.8352,120,0.385830531
890,-2.970931756,110847.0606,120,0.368377239
900,-2.972987378,109668.6738,120,0.350923946
910,-2.974897869,108486.922,120,0.333470654
920,-2.976658023,107302.0598,120,0.316017361
930,-2.978262413,106114.3501,120,0.298564069
940,-2.979705382,104924.0641,120,0.281110776
950,-2.980981031,103731.4819,120,0.263657484
960,-2.982083209,102536.893,120,0.246204191
970,-2.983005502,101340.5969,120,0.228750899
980,-2.983741223,100142.9032,120,0.211297606
990,-2.984283397,98944.13266,120,0.193844314
1000,-2.984283397,98944.13266,120,0.193844314
1010,-2.984838868,97745.39192,120,0.211297606
1020,-2.985624727,96547.83802,120,0.228750899
1030,-2.986649374,95351.88734,120,0.246204191
1040,-2.987921532,94157.9722,120,0.263657484
1050,-2.989450248,92966.5417,120,0.281110776
1060,-2.991244908,91778.06257,120,0.298564069
1070,-2.993315234,90593.02011,120,0.316017361
1080,-2.995671297,89411.91911,120,0.333470654
1090,-2.998323513,88235.28482,120,0.350923946
1100,-3.001282651,87063.664,120,0.368377239
1110,-3.004559826,85897.62597,120,0.385830531
1120,-3.008166501,84737.76369,120,0.403283824
1130,-3.012114478,83584.69488,120,0.420737116
1140,-3.016415889,82439.06318,120,0.438190409
1150,-3.021083183,81301.5393,120,0.455643701
1160,-3.026129107,80172.82218,120,0.473096994
1170,-3.031566681,79053.6402,120,0.490550286
1180,-3.037409171,77944.75231,120,0.508003579
1190,-3.04367005,76846.94917,120,0.525456871
1200,-3.050362956,75761.05427,120,0.542910164
1210,-3.057501636,74687.92496,120,0.560363456
1220,-3.065099885,73628.45339,120,0.577816749
1230,-3.073171473,72583.56735,120,0.595270042
1240,-3.081730058,71554.231,120,0.612723334
1250,-3.09078909,70541.44538,120,0.630176627
1260,-3.100361697,69546.24874,120,0.647629919
1270,-3.110460562,68569.7166,120,0.665083212
1280,-3.121097779,67612.96149,120,0.682536504
1290,-3.132284698,66677.13239,120,0.699989797
1300,3.139153558,65763.41371,120,0.717443089
1310,3.126837054,64873.02382,120,0.734896382
1320,3.113943089,64007.21307,120,0.752349674
1330,3.100465189,63167.26123,120,0.769802967
1340,3.086398644,62354.47421,120,0.787256259
1350,3.071740756,61570.18023,120,0.804709552
1360,3.056491084,60815.72505,120,0.822162844
1370,3.040651702,60092.46659,120,0.839616137
1380,3.024227445,59401.7686,120,0.857069429
1390,3.00722616,58744.99358,120,0.874522722
1400,2.989658928,58123.49483,120,0.891976014
1410,2.971540272,57538.60771,120,0.909429307
1420,2.952888337,56991.64024,120,0.926882599
1430,2.933725019,56483.86294,120,0.944335892
1440,2.914076061,56016.49825,120,0.961789184
1450,2.893971078,55590.70949,120,0.979242477
1460,2.87344353,55207.58976,120,0.996695769
1470,2.852530622,54868.15069,120,1.014149062
1480,2.831273125,54573.31165,120,1.031602355
1490,2.809715131,54323.8893,120,1.049055647
1500,2.809715131,54323.8893,120,1.049055647
1510,2.787934985,54110.25365,120,1.049055647
1520,2.765992678,53922.48279,120,1.049055647
1530,2.743907739,53760.84776,120,1.049055647
1540,2.721700506,53625.58487,120,1.049055647
1550,2.699392027,53516.8941,120,1.049055647
1560,2.677003941,53434.93759,120,1.049055647
1570,2.654558363,53379.83848,120,1.049055647
1580,2.632077752,53351.67998,120,1.049055647
1590,2.609584778,53350.50476,120,1.049055647
1600,2.587102187,53376.31459,120,1.049055647
1610,2.564652662,53429.07037,120,1.049055647
1620,2.542258685,53508.69239,120,1.049055647
1630,2.519942405,53615.06096,120,1.049055647
1640,2.49772551,53748.0173,120,1.049055647
1650,2.475629102,53907.36466,120,1.049055647
1660,2.453673586,54092.86982,120,1.049055647
1670,2.431878564,54304.26472,120,1.049055647
1680,2.410262745,54541.24831,120,1.049055647
