timeSeries,Azimuth (rad),Range (km),Speed (km/s),Heading (rad),x-axis,y-axis
0,3.6633333331795863,200.0,0.12,1.049055647,-173.39059125383577,-99.67799588999196
10,3.660298317179586,198.9639228,0.12,1.049055647,-172.7925232792583,-98.63765241910082
20,3.657231555179586,197.9296974,0.12,1.049055647,-172.194455246813,-97.59730885177567
30,3.654132605179586,196.89735320000003,0.12,1.049055647,-171.59638733566058,-96.55696531330875
40,3.651001018179586,195.8669197,0.12,1.049055647,-170.99831933749704,-95.51662167663613
50,3.647836339179586,194.83842739999997,0.12,1.049055647,-170.40025132596153,-94.4762781853424
60,3.6446381041795863,193.81190719999998,0.12,1.049055647,-169.80218340042313,-93.4359346555193
70,3.6414058431795864,192.78739050000001,0.12,1.049055647,-169.20411546576798,-92.395591048743
80,3.6381390801795863,191.7649094,0.12,1.049055647,-168.60604739409476,-91.35524757412941
90,3.6348373291795864,190.7444968,0.12,1.049055647,-168.00797946174066,-90.31490406720555
100,3.631500098179586,189.72618590000002,0.12,1.049055647,-167.40991151895173,-89.27456043788798
110,3.6281268891795864,188.7100108,0.12,1.049055647,-166.8118435053673,-88.2342169596181
120,3.624717193179586,187.6960062,0.12,1.049055647,-166.21377561044943,-87.19387329824039
130,3.621270498179586,186.68420740000002,0.12,1.049055647,-165.61570754628528,-86.1535298551924
140,3.6177862791795863,185.67465049999998,0.12,1.049055647,-165.0176395803899,-85.11318620292441
150,3.6142640081795863,184.66737229999998,0.12,1.049055647,-164.41957155973117,-84.0728427038199
160,3.610703146179586,183.66241029999998,0.12,1.049055647,-163.82150358027974,-83.03249919099103
170,3.6071031471795862,182.6598027,0.12,1.049055647,-163.2234356229968,-81.99215563594086
180,3.6034634571795863,181.6595885,0.12,1.049055647,-162.62536770934642,-80.9518120327717
190,3.599783515179586,180.6618074,0.12,1.049055647,-162.02729971262445,-79.91146851904335
200,3.5960627501795863,179.6665,0.12,1.049055647,-161.4292317598533,-78.87112498039806
210,3.5923005841795863,178.6737076,0.12,1.049055647,-160.83116379014564,-77.83078145205565
220,3.5884964301795863,177.6834723,0.12,1.049055647,-160.23309578457327,-76.79043784141776
230,3.584649694179586,176.6958372,0.12,1.049055647,-159.63502777213643,-75.75009433656264
240,3.580759772179586,175.7108461,0.12,1.049055647,-159.03695977145208,-74.70975079486892
250,3.576826052179586,174.7285438,0.12,1.049055647,-158.43889188668535,-73.66940719313378
260,3.572847915179586,173.74897570000002,0.12,1.049055647,-157.84082385590932,-72.62906361290226
270,3.568824732179586,172.7721885,0.12,1.049055647,-157.24275588939844,-71.58872005690966
280,3.5647558671795863,171.79822959999998,0.12,1.049055647,-156.6446878878102,-70.54837666612066
290,3.560640672179586,170.8271473,0.12,1.049055647,-156.04661996009872,-69.50803301550421
300,3.556478495179586,169.858991,0.12,1.049055647,-155.44855202232503,-68.46768944327383
310,3.552268674179586,168.8938109,0.12,1.049055647,-154.8504839341469,-67.42734597836012
