timeSeries,Azimuth (rad),Range (m)
0,-2.619192365,200076.6746
10,-2.622474608,198853.7752
20,-2.622916234,197974.248
30,-2.633977605,196907.8388
40,-2.622790903,195972.307
50,-2.647505504,194842.2512
60,-2.653107593,193918.936
70,-2.649543202,192788.0083
80,-2.644048893,191737.0849
90,-2.647579367,190807.2213
100,-2.633152848,189745.8403
110,-2.65656451,188662.9393
120,-2.666679899,187654.9871
130,-2.66928328,186841.1589
140,-2.673364973,185447.2974
150,-2.673264267,184589.7534
160,-2.677278566,183688.9798
170,-2.668074875,182590.4357
180,-2.686360946,181714.8987
190,-2.692876781,180643.5046
200,-2.687370509,179543.9456
210,-2.709101561,178464.5339
220,-2.688480152,177519.5165
230,-2.709327819,176631.9794
240,-2.703033564,175745.277
250,-2.695011065,174899.0159
260,-2.691270061,173698.019
270,-2.706943236,172651.9679
280,-2.726380969,171802.3054
290,-2.728503526,170895.6039
300,-2.716803245,169892.7889
310,-2.735987387,168846.6065
320,-2.729171548,167866.5333
330,-2.727702286,166947.6979
340,-2.747248723,166070.87
350,-2.762465305,164939.1789
360,-2.741619118,164117.8302
370,-2.751173005,163212.5059
380,-2.774925257,162187.5626
390,-2.777369299,161143.5702
400,-2.774010395,160439.6259
410,-2.783178966,159362.0386
420,-2.77269177,158568.5364
430,-2.789041042,157489.1363
440,-2.793333494,156804.5603
450,-2.794772326,155714.2366
460,-2.806288583,154696.7572
470,-2.821722687,153740.4688
480,-2.807458208,153128.1461
490,-2.815344486,152095.913
500,-2.818461694,152060.6147
510,-2.820417135,151153.6975
520,-2.825045101,150326.5922
530,-2.820195234,149169.5727
540,-2.832005227,148291.0617
550,-2.824345874,147562.6566
560,-2.839716241,146585.5921
570,-2.851372842,145503.8854
580,-2.85374793,144479.5919
590,-2.863003085,143468.2062
600,-2.871258854,142808.8399
610,-2.875930217,141581.634
620,-2.888194943,140497.3469
630,-2.887965931,139683.2622
640,-2.880083541,138539.7089
650,-2.891725572,137563.0353
660,-2.899161906,136498.8468
670,-2.899171929,135585.9883
680,-2.897397385,134480.5588
690,-2.913359271,133153.3742
700,-2.907655773,132219.1605
710,-2.908359651,131121.013
720,-2.922660263,130017.1549
730,-2.926603947,129103.1309
740,-2.925138107,128011.7878
750,-2.926652725,126928.2586
760,-2.935828297,125679.998
770,-2.942517142,124417.3461
780,-2.947637002,123443.0497
790,-2.943950414,122353.6689
800,-2.937267646,121157.1648
810,-2.955250614,120083.9492
820,-2.961062481,118887.1624
830,-2.965496127,117864.0752
840,-2.958002571,116632.7307
850,-2.954232499,115356.601
860,-2.957046222,114412.3199
870,-2.968213664,113099.9653
880,-2.962362592,112074.668
890,-2.980268048,110803.9735
900,-2.976275897,109549.8965
910,-2.96348638,108543.4487
920,-2.985494805,107274.5258
930,-2.978560891,106023.5868
940,-2.978017849,105057.08
950,-2.982959034,103762.6522
960,-2.979998364,102363.8223
970,-2.980838608,101456.1822
980,-2.982070978,100091.6816
990,-2.981702601,98866.65466
1000,-2.985443001,99087.12057
1010,-2.976234096,97773.86414
1020,-2.984114321,96741.59481
1030,-2.990716612,95413.20676
1040,-2.975908385,94133.62321
1050,-2.985550039,92964.90617
1060,-2.987013985,91803.19814
1070,-3.0049539,90654.67662
1080,-2.984527805,89415.23076
1090,-3.009458898,88251.51167
1100,-3.013301238,87022.89036
1110,-3.004656587,85798.30244
1120,-3.013107155,84755.06551
1130,-3.01666105,83509.62426
1140,-3.005407503,82392.45591
1150,-3.011750122,81239.43252
1160,-3.030154711,80058.00938
1170,-3.028140897,79004.69287
1180,-3.032871135,77902.44424
1190,-3.04216991,76833.49439
1200,-3.045088586,75604.13336
1210,-3.064566397,74652.65062
1220,-3.065886762,73673.80518
1230,-3.078376729,72710.24111
1240,-3.093979501,71671.16876
1250,-3.096316619,70581.31492
1260,-3.107992591,69551.21099
1270,-3.109788616,68540.76587
1280,-3.117665808,67722.09649
1290,-3.135104275,66884.87876
1300,3.146498388,65740.29193
1310,3.119955459,64773.10684
1320,3.101032988,63817.8897
1330,3.078324485,62992.55429
1340,3.064222218,62391.32443
1350,3.071776068,61683.20759
1360,3.073215054,60844.8812
1370,3.03605242,60112.6673
1380,3.026731367,59401.58112
1390,3.004235639,58655.89319
1400,2.986643202,58221.68631
1410,2.959106261,57346.03634
1420,2.945142779,56852.26845
1430,2.929431845,56362.52286
1440,2.91343986,56056.86681
1450,2.89935328,55636.67058
1460,2.857222683,55278.1748
1470,2.857048686,54868.85832
1480,2.83573535,54463.70391
1490,2.801611366,54236.53841
1500,2.819519651,54294.87657
1510,2.7936892,54176.03044
1520,2.762736987,54029.02401
1530,2.746718163,53623.77279
1540,2.716829642,53721.10048
1550,2.679539193,53719.9537
1560,2.66957043,53408.13615
1570,2.65133884,53455.08555
1580,2.624438505,53492.29318
1590,2.61174387,53291.3384
1600,2.578988798,53456.20826
1610,2.572419076,53372.23893
1620,2.542953968,53413.06557
1630,2.521087649,53625.56889
1640,2.497025947,53913.65406
1650,2.49564759,53784.16743
1660,2.443075223,54127.80818
1670,2.407898299,54375.60253
1680,2.402338448,54418.14692
1690,2.391004308,54803.95385
1700,2.357051063,55225.72399
1710,2.342948595,55275.25896
1720,2.334459962,55664.36533
1730,2.303249988,56129.44784
1740,2.292541983,56525.06268
1750,2.261332841,56873.56867
1760,2.239079319,57212.38015
1770,2.235453238,57794.51044
1780,2.205495298,58154.06034
1790,2.18876239,58786.18304
1800,2.170858833,59148.07061
1810,2.165545589,59537.82176
1820,2.122234383,60225.20205
1830,2.120667573,60964.62438
1840,2.093593818,61585.67502
1850,2.09656294,62071.44902
1860,2.079660624,62745.17437
1870,2.044355552,63457.62399
1880,2.036033301,64019.54312
1890,2.001976434,64560.30596
1900,2.013022954,65207.96085
1910,1.984344349,65968.45567
1920,1.980544434,66922.28836
1930,1.971669992,67441.86531
1940,1.953294455,68166.83072
1950,1.940256506,69178.44799
1960,1.92383824,69897.14641
1970,1.899301413,70459.98385
1980,1.888571153,71346.11922
1990,1.877650456,72079.27569
2000,1.87093582,72148.56727
2010,1.872904585,72963.33443
2020,1.859339478,73860.17179
