timeSeries,Azimuth (rad),Range (km),x-axis,y-axis
0,3.6639929421795863,200.0766746,-173.39125308615593,-99.83060188242332
10,3.660710699179586,198.8537752,-172.65619576338295,-98.65425472734827
20,3.6602690731795864,197.974248,-171.93589887394955,-98.14198668038307
30,3.649207702179586,196.9078388,-172.07900153079225,-95.71579918201795
40,3.6603944041795864,195.972307,-170.18508381309505,-97.17089254726469
50,3.635679803179586,194.8422512,-171.5395029602058,-92.39968493912437
60,3.630077714179586,193.91893599999997,-171.23911107135078,-91.00395913841153
70,3.6336421051795864,192.78800829999997,-169.91688851243185,-91.07945510670706
80,3.6391364141795863,191.73708489999999,-168.49040087261835,-91.51007889699457
90,3.635605940179586,190.8072213,-167.99373778410995,-90.47375180432655
100,3.6500324591795863,189.7458403,-165.74395854713694,-92.37112165757247
110,3.6266207971795863,188.6629393,-166.90290075347156,-87.96093670142623
120,3.616505408179586,187.6549871,-166.88770113085474,-85.80728054634801
130,3.613902027179586,186.8411589,-166.3857940627594,-85.00227169434987
140,3.6098203341795863,185.4472974,-165.4875207120023,-83.69337250678011
150,3.6099210401795863,184.58975339999998,-164.713884276092,-83.32294634105888
160,3.605906741179586,183.6889798,-164.2416317119957,-82.25769090210338
170,3.6151104321795864,182.5904357,-162.49994091913064,-83.26485699498254
180,3.596824361179586,181.7148987,-163.20890392187692,-79.89466872182905
190,3.5903085261795864,180.64350459999997,-162.76068477636892,-78.36475767395494
200,3.5958147981795863,179.5439456,-161.33865534867252,-78.77732346239
210,3.574083746179586,178.46453390000002,-162.03231676081919,-74.80052262695638
220,3.5947051551795863,177.5195165,-159.60582895056635,-77.71202032759368
230,3.5738574881795864,176.6319794,-160.38524201991396,-73.99615050106085
240,3.580151743179586,175.74527700000002,-159.1135285791333,-74.62765848466684
250,3.588174242179586,174.8990159,-157.74644720201712,-75.53624400199996
260,3.5919152461795862,173.698019,-156.38149702955954,-75.60310305350053
270,3.5762420711795864,172.6519679,-156.5983952518773,-72.70243891561992
280,3.556804338179586,171.80230540000002,-157.20442687644137,-69.30223886141394
290,3.5546817811795863,170.8956039,-156.52073620747757,-68.60442091742277
300,3.5663820621795863,169.89278890000003,-154.7936597025095,-70.01773086957088
310,3.547197920179586,168.8466065,-155.1470247457761,-66.6226480943184
320,3.554013759179586,167.86653330000001,-153.7914382418612,-67.28570818279177
330,3.5554830211795863,166.9476979,-152.85116011330632,-67.14206346342111
340,3.5359365841795865,166.07086999999999,-153.32473585747226,-63.804852768369074
350,3.520720002179586,164.9391789,-153.2265123542604,-61.04562759081022
360,3.541566189179586,164.1178302,-151.16422311818735,-63.906492930146754
370,3.532012302179586,163.2125059,-150.93067227145156,-62.11484725768244
380,3.508260050179586,162.1875626,-151.40651527863002,-58.14527146132257
390,3.505816008179586,161.1435702,-150.57266518962587,-57.403159446977824
400,3.5091749121795863,160.4396259,-149.72208439776594,-57.65562420545118
410,3.5000063411795863,159.3620386,-149.235292262621,-55.90247660021857
420,3.510493537179586,158.5685364,-147.90071757453296,-57.17830425061904
430,3.494144265179586,157.4891363,-147.80272189559278,-54.37999129067639
440,3.489851813179586,156.80456030000002,-147.39130335618052,-53.51143640234968
450,3.4884129811795863,155.7142366,-146.44274079397127,-52.92869872451539
460,3.476896724179586,154.69675719999998,-146.08174072706552,-50.90394596046709
470,3.4614626201795864,153.7404688,-145.9421855688846,-48.342633546601725
480,3.4757270991795863,153.1281461,-144.6593210041649,-50.21862179149213
490,3.4678408211795864,152.095913,-144.07307222068198,-48.74542657724639
500,3.4647236131795864,152.0606147,-144.1908501636054,-48.28487622474096
510,3.462768172179586,151.15369750000002,-143.42445068132915,-47.716529784556776
520,3.458140206179586,150.32659220000002,-142.8577332148197,-46.79479012869394
530,3.4629900731795864,149.1695727,-141.5313312937268,-47.121584032436076
540,3.4511800801795864,148.2910617,-141.24120792803416,-45.17920055891896
550,3.458839433179586,147.5626566,-140.19896873123844,-46.03245365551074
560,3.443469066179586,146.5855921,-139.95703410303065,-43.58169818158423
570,3.4318124651795863,145.5038854,-139.41905794359872,-41.637806721965994
580,3.4294373771795863,144.4795919,-138.53540610020883,-41.015774187997046
590,3.4201822221795863,143.4682062,-137.9366837662833,-39.45373824881585
600,3.411926453179586,142.80883989999998,-137.62228100903303,-38.1375474231704
610,3.407255090179586,141.58163399999998,-136.61477908720283,-37.172048922069365
620,3.3949903641795864,140.4973469,-136.0107360262036,-35.22192742524602
630,3.395219376179586,139.6832622,-135.21462507340038,-35.048807470350724
